batavg,batsr,bowlavg,bowleco,bowlsr,ball_no,innings,runs
0,131.25,12.41,6.02,12.38,7.6,2,4
27,135,16,7.16,13.4,8.1,2,1
0,131.25,16,7.16,13.4,8.2,2,0
0,131.25,16,7.16,13.4,8.3,2,0
0,131.25,16,7.16,13.4,8.4,2,1
27,135,16,7.16,13.4,8.5,2,1
0,131.25,16,7.16,13.4,8.6,2,6
0,131.25,16,7.16,13.4,8.7,2,1
0,131.25,34.58,7.98,26,9.1,2,1
27,135,34.58,7.98,26,9.2,2,4
27,135,34.58,7.98,26,9.3,2,1
0,131.25,34.58,7.98,26,9.4,2,1
27,135,34.58,7.98,26,9.5,2,0
27,135,34.58,7.98,26,9.6,2,1
0,131.25,34.58,7.98,26,9.7,2,4
27,135,22.11,7.65,17.3,10.1,2,1
0,131.25,22.11,7.65,17.3,10.2,2,0
0,131.25,22.11,7.65,17.3,10.3,2,1
27,135,22.11,7.65,17.3,10.4,2,1
0,131.25,22.11,7.65,17.3,10.5,2,4
0,131.25,22.11,7.65,17.3,10.6,2,4
0,131.25,22.11,7.65,17.3,10.7,2,1
0,131.25,34.58,7.98,26,11.1,2,1
27,135,34.58,7.98,26,11.2,2,2
27,135,34.58,7.98,26,11.3,2,1
0,131.25,34.58,7.98,26,11.4,2,7
13.76,133.58,34.58,7.98,26,11.5,2,1
27,135,34.58,7.98,26,11.6,2,1
27,135,12.41,6.02,12.38,12.1,2,1
13.76,133.58,12.41,6.02,12.38,12.2,2,2
13.76,133.58,12.41,6.02,12.38,12.3,2,1
27,135,12.41,6.02,12.38,12.4,2,4
27,135,12.41,6.02,12.38,12.5,2,7
13.76,133.58,12.41,6.02,12.38,12.6,2,0
29.75,150.63,40.33,8.64,28,13.1,2,0
29.75,150.63,40.33,8.64,28,13.2,2,1
13.76,133.58,40.33,8.64,28,13.3,2,1
29.75,150.63,40.33,8.64,28,13.4,2,7
13.76,133.58,40.33,8.64,28,13.5,2,1
15.75,161.53,40.33,8.64,28,13.6,2,1
15.75,161.53,12.41,6.02,12.38,14.1,2,1
13.76,133.58,12.41,6.02,12.38,14.2,2,1
15.75,161.53,12.41,6.02,12.38,14.3,2,0
15.75,161.53,12.41,6.02,12.38,14.4,2,0
15.75,161.53,12.41,6.02,12.38,14.5,2,1
13.76,133.58,12.41,6.02,12.38,14.6,2,6
15.75,161.53,16,7.16,13.4,15.1,2,0
15.75,161.53,16,7.16,13.4,15.2,2,6
15.75,161.53,16,7.16,13.4,15.3,2,1
13.76,133.58,16,7.16,13.4,15.4,2,0
13.76,133.58,16,7.16,13.4,15.5,2,4
13.76,133.58,16,7.16,13.4,15.6,2,1
13.76,133.58,21.3,7.42,17.2,16.1,2,1
15.75,161.53,21.3,7.42,17.2,16.2,2,1
13.76,133.58,21.3,7.42,17.2,16.3,2,0
13.76,133.58,21.3,7.42,17.2,16.4,2,1
15.75,161.53,21.3,7.42,17.2,16.5,2,7
0,0,21.3,7.42,17.2,16.6,2,0
13.76,133.58,22.11,7.65,17.3,17.1,2,2
13.76,133.58,22.11,7.65,17.3,17.2,2,0
13.76,133.58,22.11,7.65,17.3,17.3,2,7
0,0,22.11,7.65,17.3,17.4,2,7
0,0,22.11,7.65,17.3,17.5,2,0
0,0,22.11,7.65,17.3,17.6,2,0
0,0,21.3,7.42,17.2,18.2,2,0
0,0,21.3,7.42,17.2,18.3,2,1
0,0,21.3,7.42,17.2,18.6,2,1
0,0,16,7.16,13.4,19.1,2,0
0,0,16,7.16,13.4,19.2,2,1
17.7,116.44,21,7.57,16.6,0.1,1,0
17.7,116.44,21,7.57,16.6,0.2,1,0
17.7,116.44,21,7.57,16.6,0.3,1,1
23.18,138.58,21,7.57,16.6,0.4,1,5
17.7,116.44,21,7.57,16.6,0.5,1,4
17.7,116.44,21,7.57,16.6,0.6,1,0
17.7,116.44,21,7.57,16.6,0.7,1,0
17.7,116.44,21,7.57,16.6,2.1,1,0
17.7,116.44,21,7.57,16.6,2.2,1,4
17.7,116.44,21,7.57,16.6,2.3,1,0
17.7,116.44,21,7.57,16.6,2.4,1,0
17.7,116.44,21,7.57,16.6,2.5,1,4
17.7,116.44,21,7.57,16.6,2.6,1,1
17.7,116.44,32.62,8.21,23.8,3.1,1,1
23.18,138.58,32.62,8.21,23.8,3.2,1,0
23.18,138.58,32.62,8.21,23.8,3.3,1,0
23.18,138.58,32.62,8.21,23.8,3.4,1,6
23.18,138.58,32.62,8.21,23.8,3.5,1,6
23.18,138.58,32.62,8.21,23.8,3.6,1,0
17.7,116.44,27.6,8.62,19.2,4.1,1,4
17.7,116.44,27.6,8.62,19.2,4.2,1,7
44.45,132.88,27.6,8.62,19.2,4.3,1,0
44.45,132.88,27.6,8.62,19.2,4.4,1,1
23.18,138.58,27.6,8.62,19.2,4.5,1,1
44.45,132.88,27.6,8.62,19.2,4.6,1,1
44.45,132.88,27.6,8.62,19.2,6.1,1,0
44.45,132.88,27.6,8.62,19.2,6.2,1,0
44.45,132.88,27.6,8.62,19.2,6.3,1,7
34.66,138.66,27.6,8.62,19.2,6.4,1,1
23.18,138.58,27.6,8.62,19.2,6.5,1,7
30.36,120.14,27.6,8.62,19.2,6.6,1,1
30.36,120.14,32.62,8.21,23.8,7.1,1,1
34.66,138.66,32.62,8.21,23.8,7.2,1,1
30.36,120.14,32.62,8.21,23.8,7.3,1,0
30.36,120.14,32.62,8.21,23.8,7.4,1,1
34.66,138.66,32.62,8.21,23.8,7.5,1,0
34.66,138.66,32.62,8.21,23.8,7.6,1,0
30.36,120.14,9.58,6.76,8.5,8.1,1,1
34.66,138.66,9.58,6.76,8.5,8.2,1,0
34.66,138.66,9.58,6.76,8.5,8.3,1,6
34.66,138.66,9.58,6.76,8.5,8.4,1,1
30.36,120.14,9.58,6.76,8.5,8.5,1,1
34.66,138.66,9.58,6.76,8.5,8.6,1,1
34.66,138.66,40.66,7.17,34,9.1,1,1
30.36,120.14,40.66,7.17,34,9.2,1,1
34.66,138.66,40.66,7.17,34,9.3,1,0
34.66,138.66,40.66,7.17,34,9.4,1,1
30.36,120.14,40.66,7.17,34,9.5,1,2
30.36,120.14,40.66,7.17,34,9.6,1,1
30.36,120.14,9.58,6.76,8.5,10.1,1,0
34.66,138.66,9.58,6.76,8.5,10.2,1,1
30.36,120.14,9.58,6.76,8.5,10.3,1,1
34.66,138.66,9.58,6.76,8.5,10.4,1,0
34.66,138.66,9.58,6.76,8.5,10.5,1,2
34.66,138.66,9.58,6.76,8.5,10.6,1,4
34.66,138.66,9.58,6.76,8.5,10.7,1,0
30.36,120.14,40.66,7.17,34,11.1,1,7
39.5,191.12,40.66,7.17,34,11.2,1,1
34.66,138.66,40.66,7.17,34,11.3,1,1
39.5,191.12,40.66,7.17,34,11.4,1,1
34.66,138.66,40.66,7.17,34,11.5,1,0
34.66,138.66,40.66,7.17,34,11.6,1,0
39.5,191.12,32.62,8.21,23.8,12.1,1,0
34.66,138.66,32.62,8.21,23.8,12.2,1,6
34.66,138.66,32.62,8.21,23.8,12.3,1,1
39.5,191.12,32.62,8.21,23.8,12.4,1,1
34.66,138.66,32.62,8.21,23.8,12.5,1,0
